FAMID,cbmom_1,cbmom_2,cbmom_3,cbmom_4,cbmom_5,cbdad_1,cbdad_2,cbdad_3,cbdad_4,cbdad_5,DID31_21,DID15_21,DID27_21,DID33_21,LDS01_21,LDS02_21,LDS03_21,LDS04_21,LDS05_21,LDS06_21,LDS07_21,LDS08_21,LDS09_21,LDS10_21,LDS11_21,LDS12_21,LDS13_21,LDS14_21,LDS15_21,PSS01R_21,PSS02_21,PSS03_21,PSS04R_21,SEX2,purpose_21,stress_21,lifesat_21,MEDUC2,MPEDUC2
1119,NA,NA,NA,NA,2,NA,NA,NA,NA,0,4,3,4,3,4,4,1,4,4,4,2,2,2,2,2,3,3,1,4,3,3,2,2,1,3.5,2.5,2.8,3,4
1120,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1121,NA,NA,1,4,2,NA,NA,0,4,2,4,4,4,3,5,5,5,4,4,4,5,5,5,3,5,4,4,4,4,4,4,4,3,2,3.75,3.75,4.4,3,4
1122,NA,NA,NA,0,1,NA,NA,NA,4,3,4,4,4,4,5,5,3,3,5,1,3,3,4,5,3,3,5,3,5,5,5,4,3,1,4,4.25,3.733333333,2,3
1123,NA,NA,NA,4,4,NA,NA,NA,4,4,5,1,5,5,3,3,3,5,3,4,5,3,5,5,5,5,5,5,5,5,5,5,2,1,4,4.25,4.266666667,2,2
1124,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA
1125,2,1,0,NA,3,2,1,0,NA,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,4,5,2,3.75,3.75,4,1,3
1126,NA,NA,4,5,3,NA,NA,1,1,3,4,3,3,2,5,5,0,5,4,1,5,5,5,5,5,4,3,3,1,5,5,3,4,1,3,4.25,3.733333333,5,NA
1127,2,NA,NA,2,2,NA,NA,NA,0,NA,5,2,2,4,2,3,4,1,2,2,2,2,2,4,5,4,3,4,5,3,2,2,4,NA,3.25,2.75,3,3,3
1128,2,3,3,3,4,4,3,3,4,3,3,4,4,4,4,3,3,4,4,4,4,3,3,3,3,2,3,3,4,5,3,3,4,2,3.75,3.75,3.333333333,4,3
1129,NA,1,1,0,1,NA,0,0,0,0,4,4,5,4,5,5,3,5,4,5,5,3,5,5,5,5,3,4,4,4,5,4,5,1,4.25,4.5,4.4,3,2
1130,0,3,0,2,0,1,2,1,2,0,2,2,2,2,5,5,2,3,5,5,5,5,3,4,5,5,5,2,4,5,4,3,4,1,2,4,4.2,4,NA
1131,2,2,2,NA,4,5,2,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1
1132,NA,NA,NA,1,6,NA,NA,NA,1,5,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,2,3.75,3,5,3,2
1133,NA,NA,NA,0,4,NA,NA,NA,0,0,1,3,2,2,3,3,2,3,5,2,2,4,4,3,1,3,1,1,4,2,2,1,1,2,2,1.5,2.733333333,3,NA
1134,NA,NA,NA,NA,4,NA,NA,NA,NA,4,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,2,5,4,5,4,4,3,3,2,5,3.5,4.6,5,6
1135,NA,NA,5,4,2,NA,NA,0,4,1,5,4,4,5,4,2,1,4,4,0,4,5,0,0,2,4,5,1,4,3,5,3,3,1,4.5,3.5,2.666666667,3,1
